geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037101110,6037101110,2021,3789,3352,88.466614
1400000US06037101122,6037101122,2021,4206,4032,95.863052
1400000US06037101220,6037101220,2021,3560,3264,91.685394
1400000US06037101221,6037101221,2021,3686,3452,93.651657
1400000US06037101222,6037101222,2021,2680,2492,92.985077
1400000US06037101300,6037101300,2021,4012,3804,94.815552
1400000US06037101400,6037101400,2021,3322,3163,95.21373
1400000US06037102103,6037102103,2021,1738,1638,94.246262
1400000US06037102104,6037102104,2021,3732,3441,92.202576
1400000US06037102105,6037102105,2021,1630,1563,95.889572
1400000US06037102107,6037102107,2021,3750,3617,96.453331
1400000US06037103101,6037103101,2021,2388,2314,96.901169
1400000US06037103102,6037103102,2021,4679,4254,90.916862
1400000US06037103201,6037103201,2021,4072,3926,96.414536
1400000US06037103202,6037103202,2021,2060,1820,88.349518
1400000US06037103300,6037103300,2021,3783,3472,91.779015
1400000US06037103401,6037103401,2021,2573,2458,95.53051
1400000US06037103402,6037103402,2021,3788,3685,97.280884
1400000US06037104103,6037104103,2021,4092,3796,92.766373
1400000US06037104105,6037104105,2021,5751,5281,91.827507
1400000US06037104108,6037104108,2021,5077,4846,95.450066
1400000US06037104124,6037104124,2021,3677,3470,94.370407
1400000US06037104201,6037104201,2021,4512,4326,95.877663
1400000US06037104203,6037104203,2021,5087,4857,95.478668
1400000US06037104204,6037104204,2021,3373,3224,95.582565
1400000US06037104310,6037104310,2021,4798,4738,98.749481
1400000US06037104321,6037104321,2021,3075,2976,96.780487
1400000US06037104322,6037104322,2021,1842,1682,91.313789
1400000US06037104401,6037104401,2021,3014,2954,98.009293
1400000US06037104403,6037104403,2021,2662,2564,96.318558
1400000US06037104404,6037104404,2021,3351,3258,97.224709
1400000US06037104500,6037104500,2021,3063,2907,94.906952
1400000US06037104610,6037104610,2021,3190,3054,95.736679
1400000US06037104620,6037104620,2021,3373,3140,93.092201
1400000US06037104701,6037104701,2021,3768,3684,97.770699
1400000US06037104703,6037104703,2021,2355,2079,88.280258
1400000US06037104704,6037104704,2021,4315,4108,95.202782
1400000US06037104821,6037104821,2021,3406,3318,97.416321
1400000US06037104822,6037104822,2021,2660,2245,84.398499
1400000US06037104823,6037104823,2021,3306,3197,96.702965
1400000US06037104824,6037104824,2021,2781,2646,95.14563
1400000US06037106010,6037106010,2021,3438,3336,97.033157
1400000US06037106020,6037106020,2021,4790,4587,95.762001
1400000US06037106111,6037106111,2021,4672,4353,93.172089
1400000US06037106112,6037106112,2021,4981,4658,93.515358
1400000US06037106113,6037106113,2021,3655,3590,98.221611
1400000US06037106114,6037106114,2021,6626,6124,92.423782
1400000US06037106403,6037106403,2021,3415,3396,99.443634
1400000US06037106405,6037106405,2021,4329,4116,95.079697
1400000US06037106406,6037106406,2021,6248,5729,91.693344
1400000US06037106407,6037106407,2021,2384,2149,90.142616
1400000US06037106408,6037106408,2021,3579,3165,88.432526
1400000US06037106510,6037106510,2021,5198,4780,91.958443
1400000US06037106520,6037106520,2021,5810,5649,97.228912
1400000US06037106603,6037106603,2021,3629,3388,93.359055
1400000US06037106604,6037106604,2021,3642,3214,88.248215
1400000US06037106641,6037106641,2021,2158,2030,94.068581
1400000US06037106642,6037106642,2021,3302,3282,99.39431
1400000US06037106643,6037106643,2021,4380,4141,94.543381
1400000US06037106645,6037106645,2021,3821,3665,95.917297
1400000US06037106646,6037106646,2021,2861,2788,97.448448
1400000US06037106648,6037106648,2021,4506,4347,96.471375
1400000US06037106649,6037106649,2021,2774,2609,94.05191
1400000US06037107010,6037107010,2021,3060,2978,97.320259
1400000US06037107020,6037107020,2021,5263,4851,92.171768
1400000US06037108101,6037108101,2021,2290,2086,91.091705
1400000US06037108102,6037108102,2021,3424,3284,95.911217
1400000US06037108103,6037108103,2021,2998,2880,96.064041
1400000US06037108104,6037108104,2021,1744,1635,93.75
1400000US06037108202,6037108202,2021,8627,7696,89.208298
1400000US06037108203,6037108203,2021,3301,2813,85.216599
1400000US06037108204,6037108204,2021,1831,1513,82.632439
1400000US06037109100,6037109100,2021,2261,2154,95.267578
1400000US06037109200,6037109200,2021,2863,2649,92.525322
1400000US06037109300,6037109300,2021,2824,2603,92.174217
1400000US06037109400,6037109400,2021,4263,3951,92.681213
1400000US06037109500,6037109500,2021,4118,3774,91.646431
1400000US06037109601,6037109601,2021,4810,4402,91.51767
1400000US06037109603,6037109603,2021,4213,3837,91.075241
1400000US06037109604,6037109604,2021,2774,2578,92.934387
1400000US06037109700,6037109700,2021,4432,4285,96.683212
1400000US06037109800,6037109800,2021,4717,4571,96.904816
1400000US06037111100,6037111100,2021,3018,2702,89.529488
1400000US06037111201,6037111201,2021,3410,3348,98.181816
1400000US06037111202,6037111202,2021,5572,5204,93.395546
1400000US06037111204,6037111204,2021,5593,5205,93.062759
1400000US06037111205,6037111205,2021,3761,3539,94.097313
1400000US06037111206,6037111206,2021,4335,4056,93.564011
1400000US06037111302,6037111302,2021,4722,4492,95.129181
1400000US06037111303,6037111303,2021,4935,4620,93.61702
1400000US06037111304,6037111304,2021,2952,2387,80.860435
1400000US06037111401,6037111401,2021,2259,1971,87.250999
1400000US06037111402,6037111402,2021,6144,5655,92.041016
1400000US06037113101,6037113101,2021,3580,3391,94.720673
1400000US06037113102,6037113102,2021,2668,2430,91.07946
1400000US06037113211,6037113211,2021,4057,3849,94.873062
1400000US06037113212,6037113212,2021,3038,2885,94.963791
1400000US06037113213,6037113213,2021,5002,4689,93.7425
1400000US06037113231,6037113231,2021,2230,1919,86.05381
1400000US06037113232,6037113232,2021,4843,4553,94.011978
1400000US06037113234,6037113234,2021,5314,4720,88.821983
1400000US06037113235,6037113235,2021,1676,1608,95.942719
1400000US06037113237,6037113237,2021,4944,4535,91.727348
1400000US06037113238,6037113238,2021,4165,3631,87.178871
1400000US06037113239,6037113239,2021,2328,1836,78.865982
1400000US06037113301,6037113301,2021,4172,3494,83.748802
1400000US06037113303,6037113303,2021,3754,3383,90.11721
