geoid,geoid20,year,vacant_residential_count,vacant_commercial_count
1400000US06037101110,6037101110,2021,8,0
1400000US06037101122,6037101122,2021,8,0
1400000US06037101220,6037101220,2021,16,6
1400000US06037101221,6037101221,2021,9,4
1400000US06037101222,6037101222,2021,7,4
1400000US06037101300,6037101300,2021,4,5
1400000US06037101400,6037101400,2021,8,3
1400000US06037102103,6037102103,2021,1,0
1400000US06037102104,6037102104,2021,3,0
1400000US06037102105,6037102105,2021,0,0
1400000US06037102107,6037102107,2021,17,0
1400000US06037103101,6037103101,2021,0,0
1400000US06037103102,6037103102,2021,6,3
1400000US06037103201,6037103201,2021,4,1
1400000US06037103202,6037103202,2021,9,3
1400000US06037103300,6037103300,2021,7,1
1400000US06037103401,6037103401,2021,9,3
1400000US06037103402,6037103402,2021,7,2
1400000US06037104103,6037104103,2021,1,0
1400000US06037104105,6037104105,2021,7,5
1400000US06037104108,6037104108,2021,10,2
1400000US06037104124,6037104124,2021,9,0
1400000US06037104201,6037104201,2021,5,8
1400000US06037104203,6037104203,2021,6,0
1400000US06037104204,6037104204,2021,0,1
1400000US06037104310,6037104310,2021,4,2
1400000US06037104321,6037104321,2021,5,2
1400000US06037104322,6037104322,2021,6,2
1400000US06037104401,6037104401,2021,2,1
1400000US06037104403,6037104403,2021,4,0
1400000US06037104404,6037104404,2021,3,2
1400000US06037104500,6037104500,2021,4,0
1400000US06037104610,6037104610,2021,4,0
1400000US06037104620,6037104620,2021,0,0
1400000US06037104701,6037104701,2021,9,0
1400000US06037104703,6037104703,2021,5,2
1400000US06037104704,6037104704,2021,7,3
1400000US06037104821,6037104821,2021,6,7
1400000US06037104822,6037104822,2021,4,1
1400000US06037104823,6037104823,2021,2,0
1400000US06037104824,6037104824,2021,2,0
1400000US06037106010,6037106010,2021,0,0
1400000US06037106020,6037106020,2021,0,0
1400000US06037106111,6037106111,2021,3,0
1400000US06037106112,6037106112,2021,4,4
1400000US06037106113,6037106113,2021,1,0
1400000US06037106114,6037106114,2021,9,21
1400000US06037106403,6037106403,2021,7,0
1400000US06037106405,6037106405,2021,5,1
1400000US06037106406,6037106406,2021,5,0
1400000US06037106407,6037106407,2021,1,1
1400000US06037106408,6037106408,2021,7,0
1400000US06037106510,6037106510,2021,2,2
1400000US06037106520,6037106520,2021,4,5
1400000US06037106603,6037106603,2021,4,0
1400000US06037106604,6037106604,2021,5,1
1400000US06037106641,6037106641,2021,1,0
1400000US06037106642,6037106642,2021,2,0
1400000US06037106643,6037106643,2021,6,0
1400000US06037106645,6037106645,2021,2,0
1400000US06037106646,6037106646,2021,4,5
1400000US06037106648,6037106648,2021,5,2
1400000US06037106649,6037106649,2021,1,0
1400000US06037107010,6037107010,2021,1,4
1400000US06037107020,6037107020,2021,3,0
1400000US06037108101,6037108101,2021,1,0
1400000US06037108102,6037108102,2021,9,4
1400000US06037108103,6037108103,2021,6,0
1400000US06037108104,6037108104,2021,1,0
1400000US06037108202,6037108202,2021,3,0
1400000US06037108203,6037108203,2021,1,2
1400000US06037108204,6037108204,2021,2,2
1400000US06037109100,6037109100,2021,1,14
1400000US06037109200,6037109200,2021,4,0
1400000US06037109300,6037109300,2021,2,28
1400000US06037109400,6037109400,2021,1,0
1400000US06037109500,6037109500,2021,5,3
1400000US06037109601,6037109601,2021,2,0
1400000US06037109603,6037109603,2021,3,10
1400000US06037109604,6037109604,2021,0,5
1400000US06037109700,6037109700,2021,5,1
1400000US06037109800,6037109800,2021,1,0
1400000US06037111100,6037111100,2021,1,0
1400000US06037111201,6037111201,2021,0,3
1400000US06037111202,6037111202,2021,11,5
1400000US06037111204,6037111204,2021,11,0
1400000US06037111205,6037111205,2021,3,0
1400000US06037111206,6037111206,2021,6,0
1400000US06037111302,6037111302,2021,13,3
1400000US06037111303,6037111303,2021,14,4
1400000US06037111304,6037111304,2021,4,1
1400000US06037111401,6037111401,2021,3,3
1400000US06037111402,6037111402,2021,4,3
1400000US06037113101,6037113101,2021,7,2
1400000US06037113102,6037113102,2021,3,0
1400000US06037113211,6037113211,2021,16,0
1400000US06037113212,6037113212,2021,2,13
1400000US06037113213,6037113213,2021,2,1
1400000US06037113231,6037113231,2021,5,0
1400000US06037113232,6037113232,2021,7,6
1400000US06037113234,6037113234,2021,22,15
1400000US06037113235,6037113235,2021,15,0
1400000US06037113237,6037113237,2021,3,23
1400000US06037113238,6037113238,2021,19,12
1400000US06037113239,6037113239,2021,11,7
1400000US06037113301,6037113301,2021,3,22
1400000US06037113303,6037113303,2021,5,24
1400000US06037113322,6037113322,2021,2,9
1400000US06037113323,6037113323,2021,3,3
1400000US06037113324,6037113324,2021,2,1
1400000US06037113423,6037113423,2021,3,6
1400000US06037113424,6037113424,2021,6,16
1400000US06037113425,6037113425,2021,2,3
1400000US06037113426,6037113426,2021,12,16
1400000US06037113427,6037113427,2021,1,0
1400000US06037113428,6037113428,2021,3,0
1400000US06037115101,6037115101,2021,10,2
1400000US06037115103,6037115103,2021,2,0
1400000US06037115104,6037115104,2021,7,0
1400000US06037115202,6037115202,2021,12,32
1400000US06037115203,6037115203,2021,5,2
1400000US06037115204,6037115204,2021,6,2
1400000US06037115301,6037115301,2021,9,1
1400000US06037115302,6037115302,2021,7,20
1400000US06037115401,6037115401,2021,5,1
1400000US06037115403,6037115403,2021,12,10
1400000US06037115404,6037115404,2021,11,28
1400000US06037117101,6037117101,2021,3,0
1400000US06037117102,6037117102,2021,1,2
1400000US06037117201,6037117201,2021,1,2
1400000US06037117202,6037117202,2021,0,0
1400000US06037117301,6037117301,2021,4,0
1400000US06037117302,6037117302,2021,5,6
1400000US06037117303,6037117303,2021,4,3
1400000US06037117404,6037117404,2021,3,3
1400000US06037117405,6037117405,2021,0,0
1400000US06037117407,6037117407,2021,0,2
1400000US06037117408,6037117408,2021,0,1
1400000US06037117510,6037117510,2021,2,1
1400000US06037117520,6037117520,2021,0,9
1400000US06037117530,6037117530,2021,2,2
1400000US06037119001,6037119001,2021,5,0
1400000US06037119003,6037119003,2021,4,1
1400000US06037119004,6037119004,2021,4,1
1400000US06037119201,6037119201,2021,6,3
1400000US06037119202,6037119202,2021,6,0
1400000US06037119310,6037119310,2021,1,1
1400000US06037119320,6037119320,2021,2,0
1400000US06037119340,6037119340,2021,2,0
1400000US06037119341,6037119341,2021,3,0
1400000US06037119342,6037119342,2021,0,0
1400000US06037119400,6037119400,2021,3,2
1400000US06037119700,6037119700,2021,3,1
1400000US06037119801,6037119801,2021,3,4
1400000US06037119802,6037119802,2021,4,4
1400000US06037119900,6037119900,2021,1,2
1400000US06037120010,6037120010,2021,2,0
1400000US06037120020,6037120020,2021,4,22
1400000US06037120030,6037120030,2021,8,13
1400000US06037120103,6037120103,2021,3,0
1400000US06037120104,6037120104,2021,1,5
1400000US06037120105,6037120105,2021,0,4
1400000US06037120106,6037120106,2021,5,0
1400000US06037120107,6037120107,2021,1,0
1400000US06037120108,6037120108,2021,2,0
1400000US06037120300,6037120300,2021,2,15
1400000US06037120400,6037120400,2021,4,3
1400000US06037121010,6037121010,2021,8,1
1400000US06037121020,6037121020,2021,6,1
1400000US06037121101,6037121101,2021,1,4
1400000US06037121102,6037121102,2021,8,49
1400000US06037121210,6037121210,2021,4,7
1400000US06037121221,6037121221,2021,3,0
1400000US06037121222,6037121222,2021,8,7
1400000US06037121600,6037121600,2021,4,2
1400000US06037121801,6037121801,2021,19,1
1400000US06037121802,6037121802,2021,5,0
1400000US06037121900,6037121900,2021,59,5
1400000US06037122000,6037122000,2021,14,17
1400000US06037122120,6037122120,2021,4,0
1400000US06037122121,6037122121,2021,2,0
1400000US06037122122,6037122122,2021,5,6
1400000US06037122200,6037122200,2021,2,11
1400000US06037122410,6037122410,2021,6,3
1400000US06037122420,6037122420,2021,1,4
1400000US06037123010,6037123010,2021,9,4
1400000US06037123020,6037123020,2021,2,1
1400000US06037123103,6037123103,2021,7,6
1400000US06037123104,6037123104,2021,18,7
1400000US06037123203,6037123203,2021,13,0
1400000US06037123204,6037123204,2021,15,10
1400000US06037123205,6037123205,2021,8,20
1400000US06037123206,6037123206,2021,9,24
1400000US06037123301,6037123301,2021,14,5
1400000US06037123303,6037123303,2021,7,1
1400000US06037123304,6037123304,2021,19,0
1400000US06037123410,6037123410,2021,1,0
1400000US06037123420,6037123420,2021,6,0
1400000US06037123510,6037123510,2021,6,1
1400000US06037123520,6037123520,2021,5,0
1400000US06037123601,6037123601,2021,2,2
1400000US06037123602,6037123602,2021,6,0
1400000US06037123700,6037123700,2021,14,1
1400000US06037123800,6037123800,2021,29,15
1400000US06037123901,6037123901,2021,18,34
1400000US06037123902,6037123902,2021,3,1
1400000US06037124000,6037124000,2021,41,2
1400000US06037124102,6037124102,2021,26,9
1400000US06037124103,6037124103,2021,2,1
1400000US06037124104,6037124104,2021,21,3
1400000US06037124105,6037124105,2021,12,1
1400000US06037124201,6037124201,2021,23,5
1400000US06037124203,6037124203,2021,22,0
1400000US06037124204,6037124204,2021,21,2
1400000US06037124300,6037124300,2021,18,22
