geoid,geoid20,year,denom_total_hh,homeownership_count,homeownership_pct,rentership_count,rentership_pct
1400000US06037101110,6037101110,2021,1494,850,56.894245,644,43.105755
1400000US06037101122,6037101122,2021,1372,1028,74.927116,344,25.072886
1400000US06037101220,6037101220,2021,1357,595,43.846722,762,56.153278
1400000US06037101221,6037101221,2021,1450,310,21.379311,1140,78.620689
1400000US06037101222,6037101222,2021,935,119,12.727273,816,87.272728
1400000US06037101300,6037101300,2021,1420,1178,82.957748,242,17.042253
1400000US06037101400,6037101400,2021,1304,917,70.322083,387,29.677914
1400000US06037102103,6037102103,2021,669,419,62.630791,250,37.369209
1400000US06037102104,6037102104,2021,1310,1021,77.938934,289,22.061069
1400000US06037102105,6037102105,2021,554,303,54.693142,251,45.306858
1400000US06037102107,6037102107,2021,1204,944,78.405319,260,21.594685
1400000US06037103101,6037103101,2021,915,805,87.978142,110,12.021858
1400000US06037103102,6037103102,2021,1651,1221,73.955177,430,26.044821
1400000US06037103201,6037103201,2021,1530,647,42.287582,883,57.712418
1400000US06037103202,6037103202,2021,660,641,97.121216,19,2.878788
1400000US06037103300,6037103300,2021,1203,1161,96.508728,42,3.4912717
1400000US06037103401,6037103401,2021,988,850,86.032387,138,13.967611
1400000US06037103402,6037103402,2021,1372,1068,77.842567,304,22.157434
1400000US06037104103,6037104103,2021,866,693,80.023094,173,19.976906
1400000US06037104105,6037104105,2021,1526,764,50.065533,762,49.934467
1400000US06037104108,6037104108,2021,1288,559,43.40062,729,56.59938
1400000US06037104124,6037104124,2021,1281,995,77.673691,286,22.326307
1400000US06037104201,6037104201,2021,916,728,79.475983,188,20.524017
1400000US06037104203,6037104203,2021,1125,659,58.577778,466,41.422222
1400000US06037104204,6037104204,2021,731,473,64.705879,258,35.294117
1400000US06037104310,6037104310,2021,942,720,76.433121,222,23.566879
1400000US06037104321,6037104321,2021,924,322,34.848484,602,65.151512
1400000US06037104322,6037104322,2021,473,313,66.173363,160,33.826637
1400000US06037104401,6037104401,2021,617,348,56.401943,269,43.598057
1400000US06037104403,6037104403,2021,578,389,67.301041,189,32.698963
1400000US06037104404,6037104404,2021,745,327,43.892616,418,56.107384
1400000US06037104500,6037104500,2021,626,484,77.316292,142,22.683706
1400000US06037104610,6037104610,2021,680,417,61.323528,263,38.676472
1400000US06037104620,6037104620,2021,702,469,66.80912,233,33.190884
1400000US06037104701,6037104701,2021,871,227,26.061998,644,73.938004
1400000US06037104703,6037104703,2021,573,225,39.267017,348,60.732983
1400000US06037104704,6037104704,2021,1209,810,66.99752,399,33.00248
1400000US06037104821,6037104821,2021,716,315,43.994415,401,56.005585
1400000US06037104822,6037104822,2021,645,201,31.16279,444,68.837212
1400000US06037104823,6037104823,2021,697,544,78.048782,153,21.95122
1400000US06037104824,6037104824,2021,535,422,78.878502,113,21.121496
1400000US06037106010,6037106010,2021,902,695,77.050995,207,22.949001
1400000US06037106020,6037106020,2021,1295,1020,78.764481,275,21.235521
1400000US06037106111,6037106111,2021,1396,1289,92.335243,107,7.6647563
1400000US06037106112,6037106112,2021,1384,1215,87.789017,169,12.210982
1400000US06037106113,6037106113,2021,992,815,82.157257,177,17.842741
1400000US06037106114,6037106114,2021,1672,843,50.418659,829,49.581341
1400000US06037106403,6037106403,2021,853,629,73.739738,224,26.260258
1400000US06037106405,6037106405,2021,1179,705,59.796436,474,40.203564
1400000US06037106406,6037106406,2021,1806,1434,79.401993,372,20.598007
1400000US06037106407,6037106407,2021,831,151,18.170879,680,81.829124
1400000US06037106408,6037106408,2021,990,178,17.979797,812,82.020203
1400000US06037106510,6037106510,2021,1625,1181,72.676926,444,27.323076
1400000US06037106520,6037106520,2021,1422,905,63.642757,517,36.357243
1400000US06037106603,6037106603,2021,1184,1093,92.314186,91,7.685811
1400000US06037106604,6037106604,2021,1240,575,46.370968,665,53.629032
1400000US06037106641,6037106641,2021,742,651,87.735847,91,12.264151
1400000US06037106642,6037106642,2021,1152,1062,92.1875,90,7.8125
1400000US06037106643,6037106643,2021,1368,1236,90.350876,132,9.6491232
1400000US06037106645,6037106645,2021,1259,1099,87.291504,160,12.708499
1400000US06037106646,6037106646,2021,951,845,88.853836,106,11.146162
1400000US06037106648,6037106648,2021,1085,491,45.253456,594,54.746544
1400000US06037106649,6037106649,2021,638,504,78.996864,134,21.003136
1400000US06037107010,6037107010,2021,742,568,76.549866,174,23.450134
1400000US06037107020,6037107020,2021,1169,834,71.343025,335,28.656971
1400000US06037108101,6037108101,2021,765,651,85.098038,114,14.90196
1400000US06037108102,6037108102,2021,1141,1015,88.957054,126,11.042945
1400000US06037108103,6037108103,2021,981,888,90.519875,93,9.4801226
1400000US06037108104,6037108104,2021,559,489,87.477638,70,12.522362
1400000US06037108202,6037108202,2021,3002,2050,68.287811,952,31.712193
1400000US06037108203,6037108203,2021,1148,804,70.034843,344,29.965157
1400000US06037108204,6037108204,2021,650,589,90.615387,61,9.3846149
1400000US06037109100,6037109100,2021,808,578,71.534653,230,28.465347
1400000US06037109200,6037109200,2021,1013,843,83.218163,170,16.781836
1400000US06037109300,6037109300,2021,927,827,89.212517,100,10.787486
1400000US06037109400,6037109400,2021,1126,794,70.515099,332,29.484901
1400000US06037109500,6037109500,2021,1011,680,67.260139,331,32.739861
1400000US06037109601,6037109601,2021,1348,1190,88.278931,158,11.721068
1400000US06037109603,6037109603,2021,1274,772,60.596546,502,39.403454
1400000US06037109604,6037109604,2021,885,675,76.271187,210,23.728813
1400000US06037109700,6037109700,2021,1376,1031,74.927322,345,25.072674
1400000US06037109800,6037109800,2021,1457,1029,70.624573,428,29.375429
1400000US06037111100,6037111100,2021,949,623,65.648048,326,34.351948
1400000US06037111201,6037111201,2021,1036,899,86.776062,137,13.223938
1400000US06037111202,6037111202,2021,1879,1166,62.054283,713,37.945717
1400000US06037111204,6037111204,2021,1831,1622,88.585472,209,11.414528
1400000US06037111205,6037111205,2021,1294,649,50.15456,645,49.84544
1400000US06037111206,6037111206,2021,1425,1328,93.192986,97,6.8070173
1400000US06037111302,6037111302,2021,1756,845,48.120728,911,51.879272
1400000US06037111303,6037111303,2021,1441,932,64.677307,509,35.322693
1400000US06037111304,6037111304,2021,1332,42,3.1531532,1290,96.846848
1400000US06037111401,6037111401,2021,679,469,69.072166,210,30.927835
1400000US06037111402,6037111402,2021,2166,418,19.298246,1748,80.701752
1400000US06037113101,6037113101,2021,1152,1012,87.847221,140,12.152778
1400000US06037113102,6037113102,2021,954,892,93.501045,62,6.4989519
1400000US06037113211,6037113211,2021,1607,1179,73.366524,428,26.633478
1400000US06037113212,6037113212,2021,945,540,57.142857,405,42.857143
1400000US06037113213,6037113213,2021,1712,1135,66.29673,577,33.70327
1400000US06037113231,6037113231,2021,833,700,84.033615,133,15.966387
1400000US06037113232,6037113232,2021,1500,1193,79.533333,307,20.466667
1400000US06037113234,6037113234,2021,1599,697,43.589745,902,56.410255
1400000US06037113235,6037113235,2021,646,441,68.266251,205,31.733746
1400000US06037113237,6037113237,2021,1595,1088,68.213165,507,31.786835
1400000US06037113238,6037113238,2021,1451,356,24.534803,1095,75.465195
1400000US06037113239,6037113239,2021,896,300,33.482143,596,66.51786
1400000US06037113301,6037113301,2021,1525,717,47.016392,808,52.983608
1400000US06037113303,6037113303,2021,1284,1061,82.632401,223,17.367601
1400000US06037113322,6037113322,2021,1530,1139,74.444443,391,25.555555
1400000US06037113323,6037113323,2021,1506,446,29.614874,1060,70.385124
1400000US06037113324,6037113324,2021,989,111,11.223458,878,88.776543
1400000US06037113423,6037113423,2021,878,597,67.995445,281,32.004555
1400000US06037113424,6037113424,2021,1017,716,70.403145,301,29.596853
1400000US06037113425,6037113425,2021,1373,64,4.6613255,1309,95.338676
1400000US06037113426,6037113426,2021,737,371,50.339214,366,49.660786
1400000US06037113427,6037113427,2021,957,292,30.512016,665,69.487984
1400000US06037113428,6037113428,2021,1083,919,84.85688,164,15.143121
1400000US06037115101,6037115101,2021,1844,1624,88.069412,220,11.930586
1400000US06037115103,6037115103,2021,5,0,0,5,100
1400000US06037115104,6037115104,2021,2026,590,29.121422,1436,70.878578
1400000US06037115202,6037115202,2021,2005,866,43.19202,1139,56.80798
1400000US06037115203,6037115203,2021,1069,233,21.796072,836,78.203926
1400000US06037115204,6037115204,2021,1604,525,32.730675,1079,67.269325
1400000US06037115301,6037115301,2021,1635,823,50.336391,812,49.663609
1400000US06037115302,6037115302,2021,1083,357,32.963989,726,67.036011
1400000US06037115401,6037115401,2021,1926,688,35.721703,1238,64.278297
1400000US06037115403,6037115403,2021,1022,267,26.125244,755,73.874756
1400000US06037115404,6037115404,2021,800,381,47.625,419,52.375
1400000US06037117101,6037117101,2021,1453,958,65.932556,495,34.067448
1400000US06037117102,6037117102,2021,815,624,76.564415,191,23.435583
